,k,accuracy,model,epoch
597,4,59.76,hopfield,97
598,4,59.15,hopfield,98
599,4,59.26,hopfield,99
600,8,42.93,hopfield,0
601,8,47.69,hopfield,1
602,8,50.99,hopfield,2
603,8,55.09,hopfield,3
604,8,54.77,hopfield,4
605,8,57.05,hopfield,5
606,8,57.86,hopfield,6
607,8,59.18,hopfield,7
608,8,58.65,hopfield,8
609,8,61.1,hopfield,9
610,8,61.3,hopfield,10
611,8,60.79,hopfield,11
612,8,60.6,hopfield,12
613,8,60.89,hopfield,13
614,8,60.88,hopfield,14
615,8,60.39,hopfield,15
616,8,60.19,hopfield,16
617,8,61.75,hopfield,17
618,8,59.74,hopfield,18
619,8,60.62,hopfield,19
620,8,60.37,hopfield,20
621,8,58.85,hopfield,21
622,8,60.33,hopfield,22
623,8,60.47,hopfield,23
624,8,61.3,hopfield,24
625,8,60.4,hopfield,25
626,8,58.94,hopfield,26
627,8,60.17,hopfield,27
628,8,60.33,hopfield,28
629,8,59.03,hopfield,29
630,8,59.36,hopfield,30
631,8,59.71,hopfield,31
632,8,59.24,hopfield,32
633,8,60.4,hopfield,33
634,8,59.05,hopfield,34
635,8,58.86,hopfield,35
636,8,58.67,hopfield,36
637,8,58.49,hopfield,37
638,8,59.54,hopfield,38
639,8,59.63,hopfield,39
640,8,57.61,hopfield,40
641,8,60.13,hopfield,41
642,8,59.68,hopfield,42
643,8,59.19,hopfield,43
644,8,58.8,hopfield,44
645,8,59.26,hopfield,45
646,8,59.98,hopfield,46
647,8,58.63,hopfield,47
648,8,58.34,hopfield,48
649,8,58.8,hopfield,49
650,8,58.93,hopfield,50
651,8,59.02,hopfield,51
652,8,58.69,hopfield,52
653,8,58.8,hopfield,53
654,8,59.4,hopfield,54
655,8,59.65,hopfield,55
656,8,59.13,hopfield,56
657,8,59.5,hopfield,57
658,8,58.46,hopfield,58
659,8,59.88,hopfield,59
660,8,59.26,hopfield,60
661,8,58.64,hopfield,61
662,8,59.7,hopfield,62
663,8,59.21,hopfield,63
664,8,59.29,hopfield,64
665,8,59.08,hopfield,65
666,8,59.89,hopfield,66
667,8,58.82,hopfield,67
668,8,59.63,hopfield,68
669,8,59.15,hopfield,69
670,8,59.44,hopfield,70
671,8,58.28,hopfield,71
672,8,59.01,hopfield,72
673,8,59.83,hopfield,73
674,8,59.22,hopfield,74
675,8,58.39,hopfield,75
676,8,59.5,hopfield,76
677,8,60.25,hopfield,77
678,8,59.92,hopfield,78
679,8,58.81,hopfield,79
680,8,58.82,hopfield,80
681,8,59.52,hopfield,81
682,8,59.5,hopfield,82
683,8,60.39,hopfield,83
684,8,58.61,hopfield,84
685,8,59.21,hopfield,85
686,8,58.64,hopfield,86
687,8,58.85,hopfield,87
688,8,59.16,hopfield,88
689,8,58.78,hopfield,89
690,8,59.13,hopfield,90
691,8,59.29,hopfield,91
692,8,59.8,hopfield,92
693,8,59.13,hopfield,93
694,8,59.37,hopfield,94
695,8,59.89,hopfield,95
696,8,59.37,hopfield,96
697,8,59.98,hopfield,97
698,8,59.64,hopfield,98
699,8,58.48,hopfield,99
700,16,41.35,hopfield,0
701,16,49.69,hopfield,1
702,16,52.89,hopfield,2
703,16,55.7,hopfield,3
704,16,57.45,hopfield,4
705,16,56.91,hopfield,5
706,16,58.33,hopfield,6
707,16,60.97,hopfield,7
708,16,60.2,hopfield,8
709,16,60.19,hopfield,9
710,16,61.64,hopfield,10
711,16,60.08,hopfield,11
712,16,59.33,hopfield,12
713,16,61.33,hopfield,13
714,16,60.76,hopfield,14
715,16,60.23,hopfield,15
716,16,60.47,hopfield,16
717,16,59.9,hopfield,17
718,16,58.54,hopfield,18
719,16,59.8,hopfield,19
720,16,60.39,hopfield,20
721,16,59.64,hopfield,21
722,16,59.15,hopfield,22
723,16,59.17,hopfield,23
724,16,58.35,hopfield,24
725,16,59.06,hopfield,25
726,16,58.62,hopfield,26
727,16,58.82,hopfield,27
728,16,58.62,hopfield,28
729,16,58.12,hopfield,29
730,16,58.4,hopfield,30
731,16,58.54,hopfield,31
732,16,58.61,hopfield,32
733,16,58.6,hopfield,33
734,16,58.35,hopfield,34
735,16,58.88,hopfield,35
736,16,58.37,hopfield,36
737,16,59.19,hopfield,37
738,16,58.26,hopfield,38
739,16,58.03,hopfield,39
740,16,58.97,hopfield,40
741,16,57.7,hopfield,41
742,16,58.33,hopfield,42
743,16,58.46,hopfield,43
744,16,58.66,hopfield,44
745,16,58.59,hopfield,45
746,16,58.91,hopfield,46
