,k,accuracy,model,epoch
642,8,98.02,hopfield,42
643,8,97.87,hopfield,43
644,8,97.78,hopfield,44
645,8,98.01,hopfield,45
646,8,97.41,hopfield,46
647,8,98.09,hopfield,47
648,8,98.06,hopfield,48
649,8,98.16,hopfield,49
650,8,97.05,hopfield,50
651,8,97.6,hopfield,51
652,8,97.76,hopfield,52
653,8,98.02,hopfield,53
654,8,97.89,hopfield,54
655,8,97.89,hopfield,55
656,8,97.91,hopfield,56
657,8,97.74,hopfield,57
658,8,97.81,hopfield,58
659,8,97.89,hopfield,59
660,8,97.88,hopfield,60
661,8,97.75,hopfield,61
662,8,97.84,hopfield,62
663,8,97.83,hopfield,63
664,8,97.85,hopfield,64
665,8,97.42,hopfield,65
666,8,98.15,hopfield,66
667,8,97.72,hopfield,67
668,8,98.14,hopfield,68
669,8,98.07,hopfield,69
670,8,97.65,hopfield,70
671,8,97.63,hopfield,71
672,8,97.85,hopfield,72
673,8,98.1,hopfield,73
674,8,98.13,hopfield,74
675,8,98.25,hopfield,75
676,8,98.36,hopfield,76
677,8,98.36,hopfield,77
678,8,98.4,hopfield,78
679,8,98.43,hopfield,79
680,8,98.42,hopfield,80
681,8,98.44,hopfield,81
682,8,98.45,hopfield,82
683,8,98.46,hopfield,83
684,8,98.46,hopfield,84
685,8,98.46,hopfield,85
686,8,98.47,hopfield,86
687,8,98.47,hopfield,87
688,8,98.49,hopfield,88
689,8,98.49,hopfield,89
690,8,98.48,hopfield,90
691,8,98.46,hopfield,91
692,8,98.47,hopfield,92
693,8,98.44,hopfield,93
694,8,98.46,hopfield,94
695,8,98.45,hopfield,95
696,8,98.45,hopfield,96
697,8,98.46,hopfield,97
698,8,98.46,hopfield,98
699,8,98.45,hopfield,99
700,16,94.42,hopfield,0
701,16,95.52,hopfield,1
702,16,96.82,hopfield,2
703,16,96.99,hopfield,3
704,16,97.01,hopfield,4
705,16,97.14,hopfield,5
706,16,97.6,hopfield,6
707,16,97.79,hopfield,7
708,16,97.75,hopfield,8
709,16,97.35,hopfield,9
710,16,97.54,hopfield,10
711,16,97.69,hopfield,11
712,16,97.89,hopfield,12
713,16,97.67,hopfield,13
